name,category,Keywords,Description,State_Name,Raiting,Rank,Location_URL
The Grand Egyptian Museum,History Museums,"ancient egypt, pharaohs, pyramids, archaeology, tutankhamun, artifacts, exhibits, antiquities, cultural heritage","is an upcoming museum in Giza, Egypt. It is scheduled to be one of the largest archaeological museums in the world, dedicated to showcasing the treasures of ancient Egypt. The museum will house a vast collection of artifacts, including those belonging to King Tutankhamun and other pharaohs, offering visitors a comprehensive insight into Egypt's rich cultural heritage.",Giza,5,6,"https://www.google.com/maps/place/The+Grand+Egyptian+Museum+GEM/@29.9946468,31.120235,17z/data=!3m1!4b1!4m6!3m5!1s0x14584534984a8ad1:0x45764c5bc4ec261a!8m2!3d29.9946422!4d31.1228099!16zL20vMGRoOTN3?entry=ttu"
Abdeen Palace Museum,History Museums,"silverware collection, arms, Wepon, Royal family, Historical Documents, Royal family history","Abdeen Palace Museum in Cairo, Egypt, is a 19th-century palace turned museum. It features a captivating blend of Ottoman, Renaissance, and Rococo architectural styles. Within its walls, you’ll find the Silver Museum (with exquisite silverware), the Arms Museum (displaying ancient weapons), the Royal Family Museum (immersed in Egyptian royal history), the Presidential Gifts Museum, and the Historical Documents Museum. Each section offers a unique glimpse into Egypt’s past.",Cairo,4,26,"https://www.google.com/maps/place/Abdeen+Palace+Museum/@30.0432194,31.2446421,17z/data=!3m1!4b1!4m6!3m5!1s0x145840baf551f617:0xbafb145a268367fd!8m2!3d30.0432148!4d31.247217!16zL20vMDc0OWJq?entry=ttu"
Tanta Museum,History Museums,"pharaonic artifacts, greco-roman period, Islmaic era, coptic heritage, statues, manuscripts, textiles, deities statues","The Tanta Museum, is a captivating repository of Egypt's rich historical tapestry. Opened to the public in 1990, the museum houses an extensive collection of artifacts spanning several eras of Egyptian history, including the Pharaonic, Greco-Roman, Coptic, and Islamic periods. Visitors can explore exhibits featuring ancient statues, pottery, tools, and everyday items that provide insights into the lives and cultures of ancient Egyptians. The museum also boasts Greco-Roman artifacts that reflect the cultural fusion during those periods, as well as Islamic manuscripts, ceramics, and metalwork that highlight the artistic and scholarly achievements of the Islamic era. Coptic artifacts, such as icons and textiles, offer a glimpse into the Christian heritage of Egypt. By preserving and showcasing these diverse artifacts, the Tanta Museum serves as a vital cultural institution, helping visitors to appreciate and understand the profound historical legacy of the region.",Tanta,3.9,7,"https://www.google.com/maps/place/Tanta+Museum/@30.7969104,30.9961747,17z/data=!3m1!4b1!4m6!3m5!1s0x14f7c979fc5d17ab:0x9c9cfa238a61b540!8m2!3d30.7969058!4d30.9987496!16s%2Fg%2F11bwflv2wv?entry=ttu"
Kom Ushim Museum,Archaeological Museums,"Fayoum, Karanis, Pharaonic Artifacts, Greco-Roman Period, Early Islamic Era, Archaeological Museum, Regional History, Ancient Egypt, Daily Life Artifacts, Pottery, Statues, Tools, Local Heritage, Excavations, Cultural Practices, Historical Exhibits, Egyptian Antiquities, Ancient Town, Museum Collection, Historical Preservation","Kom Ushim Museum is a captivating journey through time. Dedicated to the archaeological treasures of ancient Karanis, it showcases artifacts spanning Pharaonic, Greco-Roman, and Early Islamic eras. From pottery to statues, each piece offers insights into daily life and cultural practices. As a testament to meticulous preservation efforts, the museum invites visitors to explore Fayoum's rich heritage in a compact yet immersive experience.",Fayoum,4.2,31,"https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D9%83%D9%88%D9%85+%D8%A3%D9%88%D8%B4%D9%8A%D9%85+Kom+Aushim+Museum%E2%80%AD/@30.1572767,30.2888097,9z/data=!4m10!1m2!2m1!1sKom+Ushim+Museum!3m6!1s0x14599f8f67ac3a31:0x3a01b7e2e55b0b61!8m2!3d29.5185688!4d30.8977976!15sChBLb20gVXNoaW0gTXVzZXVtkgEGbXVzZXVt4AEA!16s%2Fg%2F11gxh2vnb3?entry=ttu"
New Valley Museum,Regional Museums,"Kharga Oasis, New Valley Governorate, Regional History, Ancient Egypt, Oasis Life, Desert Culture, Nomadic Tribes, Archaeological Artifacts, Prehistoric Settlements, Pharaonic Era, Greco-Roman Period, Islamic Civilization, Oasis Agriculture, Trade Routes, Natural Resources, Oasis Wildlife, Oasis Architecture, Cultural Heritage, Traditional Crafts, Modern Development","The New Valley Museum in Kharga Oasis, Egypt, offers a rich journey through regional history and culture. From prehistoric settlements to Pharaonic, Greco-Roman, and Islamic periods, the museum showcases diverse civilizations. Exhibits explore daily life, oasis agriculture, trade routes, and natural resources, providing insights into the region's identity. Through artifacts and interactive displays, visitors experience the unique heritage and modern development of this oasis amidst the desert.",New Valley Governorate,4.5,42,"https://www.google.com/maps/place/New+Valley+Museum/@25.4566969,29.3263494,9z/data=!4m10!1m2!2m1!1sNew+Valley+Museum!3m6!1s0x144769ea2e3a1e1d:0x732dd9999b7481d0!8m2!3d25.4566969!4d30.5458318!15sChFOZXcgVmFsbGV5IE11c2V1bVoTIhFuZXcgdmFsbGV5IG11c2V1bZIBFWFyY2hhZW9sb2dpY2FsX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSU2FXOUhUazkzRUFF4AEA!16s%2Fg%2F11jbp1j22j?entry=ttu"
Tal Basta Museum,Archaeological Museums,"Bubastis, archaeological artifacts, ancient Egypt, Pharaonic era, cultural heritage, regional history","The Tell Basta Museum showcases the ancient city of Bubastis, a key center of ancient Egypt. Its collection of archaeological artifacts includes statues, pottery, and tools, offering insights into daily life and religious practices during the Pharaonic era. Through immersive displays, visitors experience the enduring legacy of this iconic archaeological site.",Sharkia,4.6,19,"https://www.google.com/maps/place/Museum+of+Tal+Basta+Antiquities/@30.5733571,31.5103375,17z/data=!3m1!4b1!4m6!3m5!1s0x14f7f0e79767c38f:0xb227ee6d2083e8d8!8m2!3d30.5733525!4d31.5129124!16s%2Fg%2F11h15zw_84?entry=ttu"
El  Arish National Museum,History Museums," El Arish National Museum, history museum, artifacts, ancient Egypt, Islamic era, cultural heritage, regional history, Sinai Peninsula, archaeological treasures, exhibits, artifacts, historical significance","The El Arish National Museum, located in the Sinai Peninsula, is a history museum housing artifacts from ancient Egypt to the Islamic era. Visitors can explore archaeological treasures and exhibits, providing insights into the region's rich cultural heritage and historical significance.",North Sinai,4.3,23,"https://www.google.com/maps/place/El+Arish+Museum/@31.1444565,33.8305967,17z/data=!3m1!4b1!4m6!3m5!1s0x14fdd34057fc8b51:0x55a8e5e0a65cb4a2!8m2!3d31.1444519!4d33.8331716!16s%2Fg%2F11pqw37c83?entry=ttu"
Kafr El-Sheikh Museum,Regional Museums,"regional museum, artifacts, ancient Egypt, Islamic era, cultural heritage, regional history, Nile Delta, agricultural tools, traditional crafts, local history","The Kafr El-Sheikh Museum, situated in the Nile Delta region of Egypt, showcases artifacts from ancient Egypt to the Islamic era, offering insights into the area's rich cultural heritage and local history. Visitors can explore agricultural tools, traditional crafts, and other exhibits reflecting the region's significance.",Kafr El-Sheikh,3.4,18,"https://www.google.com/maps/place/Kafr+El-Sheikh+Museum/@31.1034255,30.94409,17z/data=!3m1!4b1!4m6!3m5!1s0x14f7ac78ca1dea3f:0xa7bf0bba9cd94f14!8m2!3d31.1034209!4d30.9466649!16s%2Fg%2F11h139r01v?entry=ttu"
Faiyum Oasis Museum,Regional Museums,"regional museum, artifacts, ancient Egypt, Greco-Roman period, Islamic era, cultural heritage, Fayoum region, oasis life, agricultural tools, mummy portraits","The Faiyum Oasis Museum in Egypt's Fayoum region showcases artifacts spanning ancient Egypt to the Islamic era, offering insights into the area's cultural heritage. Visitors can explore agricultural tools and mummy portraits, among other exhibits, reflecting the region's significance.",Fayoum,3.9,13,"https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D9%83%D9%88%D9%85+%D8%A3%D9%88%D8%B4%D9%8A%D9%85+Kom+Aushim+Museum%E2%80%AD/@29.5185688,30.592927,11z/data=!4m10!1m2!2m1!1sFayoum+Oasis+Museum!3m6!1s0x14599f8f67ac3a31:0x3a01b7e2e55b0b61!8m2!3d29.5185688!4d30.8977976!15sChNGYXlvdW0gT2FzaXMgTXVzZXVtWhUiE2ZheW91bSBvYXNpcyBtdXNldW2SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBOalY1ZVdSbkVBReABAA!16s%2Fg%2F11gxh2vnb3?entry=ttu"
Gayer-Anderson Museum,Historic House Museums,"historic house museum, Islamic architecture, antique furniture, oriental carpets, ancient artifacts, cultural heritage, Cairo, Egypt, historical residence","Gayer-Anderson Museum in Cairo, Egypt, offers a glimpse into the past with its collection of Islamic architecture, antique furniture, and ancient artifacts. Housed in a historical residence, the museum provides insights into the cultural heritage of the region.",Cairo,2.5,49,"https://www.google.com/maps/place/Gayer-Anderson+Museum/@30.0283346,31.2481691,17z/data=!3m1!4b1!4m6!3m5!1s0x1458474d2b6e49a7:0xb1f4a75076659e7f!8m2!3d30.02833!4d31.250744!16zL20vMGN5a2to?entry=ttu"
Beni Suef Museum,Regional Museums,"regional museum, artifacts, ancient Egypt, Islamic era, cultural heritage, regional history, Beni Suef Governorate, agricultural tools, traditional crafts, local history","The Beni Suef Museum in Egypt's Beni Suef Governorate showcases artifacts spanning ancient Egypt to the Islamic era, offering insights into the region's cultural heritage and local history. Visitors can explore agricultural tools, traditional crafts, and other exhibits reflecting the area's significance.",Beni Suef,3.4,15,"https://www.google.com/maps/place/Beni+Suef+Museum/@29.0840943,31.0985379,17z/data=!3m1!4b1!4m6!3m5!1s0x145a2614dc8d8fb9:0xe6b0f340fd0d666b!8m2!3d29.0840896!4d31.1011128!16s%2Fg%2F122wsxlz?entry=ttu"
Wadi El-Natroun Museum,Cultural Museums,"cultural museums, Coptic heritage, desert monasticism, ancient artifacts, religious manuscripts, Christian history, regional history, archaeological treasures, cultural preservation","The Wadi El-Natroun Museums in Egypt showcase the rich Coptic heritage and desert monasticism of the region through ancient artifacts, religious manuscripts, and archaeological treasures. These museums offer insights into Christian history and cultural preservation efforts in the area.",Beheira,2.1,29,"https://www.google.com/maps/place/Wadi+El+Natroun+Culture/@30.7765429,29.626101,9z/data=!4m10!1m2!2m1!1z2YjYp9iv2Ykg2KfZhNmG2LfYsdmI2YYg2YXYqtit2YE!3m6!1s0x1458b9909b8245b9:0x343bdd34410f4ec5!8m2!3d30.3819084!4d30.3540371!15sCiDZiNin2K_ZiSDYp9mE2YbYt9ix2YjZhiDZhdiq2K3ZgVoiIiDZiNin2K_ZiSDYp9mE2YbYt9ix2YjZhiDZhdiq2K3ZgZIBD2N1bHR1cmFsX2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbE1HOVVSVXgzRUFF4AEA!16s%2Fg%2F11jpsk_zzx?entry=ttu"
Saqqara Museum,Archaeological Museums,"archaeological museum, ancient artifacts, Egyptian civilization, Old Kingdom, Pharaoh Djoser, Step Pyramid, funerary objects, mummies, cultural heritage, Memphis, regional history","The Saqqara Museum in Egypt showcases a collection of ancient artifacts from the Old Kingdom period, including objects from the reign of Pharaoh Djoser and the Step Pyramid complex. It offers insights into Egyptian civilization and cultural heritage.",Giza,4.6,11,"https://www.google.com/maps/place/Tomb+of+AnkhMaHor+(Ankh-Ma-Hor)+-+Saqqara/@29.8759316,31.2167928,17z/data=!4m10!1m2!2m1!1ssaqqara+museum!3m6!1s0x145849f9944d6793:0x585adb992f49b284!8m2!3d29.8759316!4d31.2215564!15sCg5zYXFxYXJhIG11c2V1bZIBFWFyY2hhZW9sb2dpY2FsX211c2V1beABAA!16s%2Fg%2F11sbql9nf4?entry=ttu"
